time,temperature_2m,wind_speed_10m
2026-04-22T00:00,14.3,8.7
2026-04-22T01:00,14.0,8.5
2026-04-22T02:00,13.8,9.7
2026-04-22T03:00,13.5,6.3
2026-04-22T04:00,13.3,4.8
2026-04-22T05:00,13.3,3.3
2026-04-22T06:00,13.2,3.3
2026-04-22T07:00,13.5,2.8
2026-04-22T08:00,14.4,4.3
2026-04-22T09:00,15.8,5.4
2026-04-22T10:00,16.5,5.8
2026-04-22T11:00,17.6,5.8
2026-04-22T12:00,18.5,3.5
2026-04-22T13:00,19.2,5.0
2026-04-22T14:00,19.6,6.3
2026-04-22T15:00,19.5,10.0
2026-04-22T16:00,19.3,10.7
2026-04-22T17:00,19.2,10.0
2026-04-22T18:00,18.7,11.4
2026-04-22T19:00,17.5,11.9
2026-04-22T20:00,16.3,9.4
2026-04-22T21:00,15.6,5.6
2026-04-22T22:00,15.2,4.6
2026-04-22T23:00,14.7,4.2
